software	n_samp	p_snp	mean	sd	se	lowerCI	upperCI
genipe	n=100	p=1000	35.3333333333333	20.5020324195757	11.8368539363765	12.1330996180355	58.5335670486312
genipe	n=100	p=10000	188	19.9749843554382	11.5325625946708	165.396177314445	210.603822685555
genipe	n=100	p=100000	1533.66666666667	211.556926932997	122.142448713696	1294.26746718782	1773.06586614551
genipe	n=1000	p=1000	86.6666666666667	30.6648550189518	17.7043622998527	51.9661165589554	121.367216774378
genipe	n=1000	p=10000	607.333333333333	23.8607068908977	13.7759855465146	580.332401662165	634.334265004502
genipe	n=1000	p=100000	5971.66666666667	783.538341967599	452.376072655386	5085.00956426211	6858.32376907122
genipe	n=5000	p=1000	229	27.6224546338663	15.9478316185409	197.74225002766	260.25774997234
genipe	n=5000	p=10000	1914	160.477412740859	92.6516774447896	1732.40271220821	2095.59728779179
genipe	n=5000	p=100000	19958	1053.43201014588	608.199254630695	18765.9294609238	21150.0705390762
GWASTools	n=100	p=1000	14.6666666666667	4.61880215351701	2.66666666666667	9.44	19.8933333333333
GWASTools	n=100	p=10000	61.3333333333333	2.08166599946613	1.20185042515466	58.9777065000302	63.6889601666365
GWASTools	n=100	p=100000	564.333333333333	85.4478398400646	49.3333333333333	467.64	661.026666666667
GWASTools	n=1000	p=1000	25.6666666666667	1.52752523165195	0.881917103688197	23.9381091434378	27.3952241898955
GWASTools	n=1000	p=10000	154.333333333333	13.6503968196288	7.88106027835793	138.886455187752	169.780211478915
GWASTools	n=1000	p=100000	1296	70.0642562224134	40.4516171905813	1216.71483030646	1375.28516969354
GWASTools	n=5000	p=1000	61.3333333333333	4.16333199893227	2.40370085030933	56.6220796667271	66.0445869999396
GWASTools	n=5000	p=10000	557	43.7149859887888	25.2388589282479	507.531836500634	606.468163499366
GWASTools	n=5000	p=100000	5268	509.615541364272	294.226669989879	4691.31572681984	5844.68427318016
gwasurvivr	n=100	p=1000	22.3333333333333	10.1159939369957	5.84047182264508	10.886008560949	33.7806581057177
gwasurvivr	n=100	p=10000	33.3333333333333	2.08166599946613	1.20185042515466	30.9777065000302	35.6889601666365
gwasurvivr	n=100	p=100000	94.6666666666667	8.9628864398325	5.17472489875334	84.5242058651101	104.809127468223
gwasurvivr	n=1000	p=1000	27.3333333333333	2.08166599946613	1.20185042515466	24.9777065000302	29.6889601666365
gwasurvivr	n=1000	p=10000	83.3333333333333	2.3094010767585	1.33333333333333	80.72	85.9466666666667
gwasurvivr	n=1000	p=100000	454.666666666667	55.4737175005726	32.0277657319048	391.892245832133	517.4410875012
gwasurvivr	n=5000	p=1000	43	2	1.15470053837925	40.7367869447767	45.2632130552233
gwasurvivr	n=5000	p=10000	255.333333333333	10.0166528008778	5.78311719096582	243.99842363904	266.668243027626
gwasurvivr	n=5000	p=100000	2124.33333333333	89.4948788106523	51.669892372423	2023.06034428338	2225.60632238328
SurvivalGWAS_SV	n=100	p=1000	62.3333333333333	12.0138808606267	6.93621734889494	48.7383473294993	75.9283193371674
SurvivalGWAS_SV	n=100	p=10000	457	36.3455636907725	20.9841209807162	415.871122877796	498.128877122204
SurvivalGWAS_SV	n=100	p=100000	5649.33333333333	605.983773160085	349.86489455852	4963.59813999863	6335.06852666803
SurvivalGWAS_SV	n=1000	p=1000	197.333333333333	7.57187779440036	4.371625682868	188.764946994912	205.901719671755
SurvivalGWAS_SV	n=1000	p=10000	1917	65.3375848956785	37.72267222772	1843.06356243367	1990.93643756633
SurvivalGWAS_SV	n=1000	p=100000	20330.3333333333	346.534750542183	200.071931509089	19938.1923475755	20722.4743190911
SurvivalGWAS_SV	n=5000	p=1000	3344.33333333333	207.447182032761	119.769686389244	3109.58474801042	3579.08191865625
SurvivalGWAS_SV	n=5000	p=10000	33460	617.702193617604	356.630527764146	32761.0041655823	34158.9958344177
SurvivalGWAS_SV	n=5000	p=100000	289639.333333333	58344.5712156095	33685.2538970855	223616.235695046	355662.430971621
