position COMBINED_rate(cM/Mb) Genetic_Map(cM)
1523 5.0511991304 0
1543 5.0806478302 0.0001010240
1816 5.1889284633 0.0014880408
2092 5.4881945265 0.0029201851
2183 6.6489401538 0.0034196108
2716 8.3914333180 0.0069634959
2842 8.4068029679 0.0080208165
3034 0.3577502634 0.0096349227
41984 0.3279268959 0.0235692954
47731 0.3006145113 0.0254538913
59805 0.3005631082 0.0290835109
59836 0.3004415363 0.0290928284
63090 0.3000465616 0.0300704651
68172 0.2999224146 0.0315953017
75149 0.3002151496 0.0336878604
77505 0.3005245248 0.0343951673
77588 0.3005718576 0.0344201109
77933 0.3006068652 0.0345238082
83276 0.3004897872 0.0361299506
89186 0.3009776855 0.0379058453
89779 0.3016600202 0.0380843250
90779 0.3018205251 0.0383859851
90825 0.3017530635 0.0383998688
90949 0.3018673791 0.0384372862
90977 0.3015955774 0.0384457385
102535 0.3094748001 0.0419315802
105574 0.5529779306 0.0428720741
112474 0.8192201326 0.0466876218
117159 0.9983595780 0.0505256681
117170 1.1663509744 0.0505366501
122301 1.1884967113 0.0565211969
122649 1.1726881200 0.0569347938
122671 1.1685185559 0.0569605929
125649 1.0630499622 0.0604404412
126305 0.8784632177 0.0611378020
126630 0.7607891955 0.0614233025
129767 0.7323264703 0.0638098982
133973 0.7306237181 0.0668900633
140399 1.3576530888 0.0715850514
144192 1.0564846550 0.0767346295
149382 0.1398759850 0.0822177849
149885 0.0284978973 0.0822881425
150887 0.0253714231 0.0823166974
151240 0.0181034447 0.0823256535
151922 0.0163610721 0.0823380001
152039 0.0142684600 0.0823399143
154285 0.0142678052 0.0823719613
155098 0.0142830690 0.0823835610
155453 0.0143053776 0.0823886315
155503 0.0142988329 0.0823893467
156277 0.0143190337 0.0824004140
167063 0.0145600759 0.0825548591
167503 0.0147204981 0.0825612656
168007 0.0150492522 0.0825686847
169403 0.0172579139 0.0825896935
170486 0.1782923803 0.0826083838
172139 0.1782923803 0.0829031011
172253 0.3079944277 0.0829234264
172766 0.2450645602 0.0830814276
173621 0.1442524609 0.0832909578
174476 0.0937548603 0.0834142936
174704 0.4397519968 0.0834356697
175110 0.4731844085 0.0836142090
176998 0.0583575025 0.0845075812
178570 0.0226757806 0.0845993192
181751 0.0228351475 0.0846714508
183162 0.0203729868 0.0847036712
184055 0.0203709968 0.0847218643
185405 0.0209248224 0.0847493652
185644 0.0217325949 0.0847543662
186829 0.0222891760 0.0847801193
189462 0.0283825950 0.0848388067
