File	User_Time	SNPs_Removed	SNPs_Included	Total_Time
n6000_chr10_9537598	13233.598	107164	329333	16089
n3000_chr20_9537586	6127.869	46445	148700	6992
n9000_chr17_9649593	7952.956	51996	177963	11430
n6000_chr17_9537605	7505.483	51980	177979	9615
n9000_chr20_9649596	6717.511	46455	148690	8967
n3000_chr3_9537569	19387.467	142966	454170	23875
n9000_chr4_9649580	19954.546	150737	472046	28854
n9000_chr2_9649578	23944.397	179412	531875	34708
n6000_chr4_9537592	20024.649	150744	472039	26113
n3000_chr1_9537567	20791.144	172233	497818	24532
n6000_chr9_9537597	11972.9	90226	278165	15602
n3000_chr21_9537587	4309.832	32637	98977	5127
n6000_chr19_9537607	6401.905	46291	151964	8080
n6000_chr6_9537594	17047.528	126908	430596	21202
n9000_chr16_9649592	9054.145	67998	204870	12691
n6000_chr11_9537599	3536.806	27015	87512	4293
n9000_chr11_9649587	3984.833	26987	87540	5363
n6000_chr21_9537609	4366.758	32646	98968	5625
n9000_chr22_9649598	4143.082	28476	90841	5725
n9000_chr6_9649582	18763.471	126923	430581	27402
n6000_chr2_9537590	22987.52	179301	531986	29926
n6000_chr18_9537606	7378.305	59626	181836	8969
n3000_chr8_9538954	13919.327	113492	345105	16019
n9000_chr13_9649589	11650.116	81688	234942	16227
n3000_chr11_9537577	3531.747	27134	87393	4019
n6000_chr8_9537596	14569.002	113539	345058	19016
n9000_chr12_9649588	4422.977	27827	88431	6276
n9000_chr7_9649583	15993.766	122674	380455	22992
n3000_chr6_9537572	18049.742	127103	430401	21864
n3000_chr2_9537568	21663.278	179429	531858	25381
n3000_chr14_9537580	9244.713	71463	207284	11010
n6000_chr3_9537591	19269.875	143090	454046	25181
n3000_chr4_9537570	18886.11	150573	472210	22096
n3000_chr7_9537573	16794.07	121988	381141	20825
n9000_chr3_9649579	19396.965	143116	454020	27941
n9000_chr10_9649586	14720.105	106943	329554	20985
n3000_chr9_9537575	11981.991	89931	278460	14314
n6000_chr22_9537610	3721.048	28397	90920	4552
n3000_chr5_9537571	17230.962	127696	406270	21184
n6000_chr20_9537608	6340.009	46466	148679	7887
n3000_chr22_9537588	3704.366	28468	90849	4217
n6000_chr1_9537589	20245.493	171866	498185	24892
n3000_chr16_9537582	8481.556	67987	204881	9605
n6000_chr12_9537600	3577.993	27891	88367	4429
n9000_chr1_9649577	21709.731	171736	498315	30997
n3000_chr17_9537583	7264.69	51982	177977	8242
n9000_chr18_9649594	8273.106	59839	181623	11101
n9000_chr21_9649597	4506.838	32614	99000	6021
n6000_chr5_9537593	16213.687	127654	406312	20262
n6000_chr13_9537601	9621.107	81394	235236	11724
n6000_chr14_9537602	8470.389	71478	207269	10288
n9000_chr14_9649590	9854.451	71355	207392	13430
n9000_chr9_9649585	12916.071	89966	278425	18049
n3000_chr12_9537578	3571.601	27842	88416	4067
n3000_chr18_9537584	8026.172	59880	181582	9599
n6000_chr16_9537604	8389.674	68187	204681	10170
n9000_chr15_9649591	8557.41	62815	185124	11508
n3000_chr15_9537581	7742.032	62910	185029	8868
n9000_chr19_9649595	6889.932	46259	151996	9235
n6000_chr7_9537595	15292.431	122514	380615	18910
n9000_chr5_9649581	18056.156	127308	406658	25391
n3000_chr19_9537585	6500.249	46321	151934	7736
n3000_chr10_9537576	13592.296	107024	329473	15778
n9000_chr8_9649584	14466.694	113547	345050	20519
n3000_chr13_9537579	9625.504	81641	234989	10868
n6000_chr15_9537603	7603.915	62855	185084	9232
